,Unnamed: 0,index,Track Name,Artist,love,Uncertainty,Explictives,German,Swedish,Dutch,Spanish
168,168.0,771791.0,Still Here,Drake,0.0,1.0,0.0,0.0,0.0,0.0,0.0
169,169.0,771792.0,You & Me,Marc E. Bassy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
170,170.0,771793.0,Should I Stay or Should I Go - Remastered,The Clash,1.0,0.0,0.0,0.0,0.0,0.0,0.0
171,171.0,771794.0,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,0.0,0.0,1.0,0.0,0.0,0.0,0.0
172,172.0,771795.0,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,0.0,1.0,0.0,0.0,0.0,0.0,0.0
173,173.0,771796.0,Stand By Me,Otis Redding,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,174.0,771797.0,Trap Queen,Fetty Wap,1.0,0.0,0.0,0.0,0.0,0.0,0.0
175,175.0,771798.0,Me and Julio Down by the Schoolyard,Paul Simon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
176,176.0,771799.0,Party,Chris Brown,0.0,1.0,0.0,0.0,0.0,0.0,0.0
177,177.0,771800.0,Don't Worry Be Happy,Bobby McFerrin,0.0,1.0,0.0,0.0,0.0,0.0,0.0
178,178.0,771801.0,By Your Side,Jonas Blue,1.0,0.0,0.0,0.0,0.0,0.0,0.0
179,179.0,771802.0,I Got You,Bebe Rexha,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,180.0,771803.0,Timeless (DJ SPINKING),A Boogie Wit da Hoodie,0.0,1.0,0.0,0.0,0.0,0.0,0.0
181,181.0,771804.0,Lighthouse - Andrelli Remix,Hearts & Colors,1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,182.0,771805.0,Middle,DJ Snake,0.0,1.0,0.0,0.0,0.0,0.0,0.0
183,183.0,771806.0,Really Really,Kevin Gates,0.0,1.0,0.0,0.0,0.0,0.0,0.0
184,184.0,771807.0,ABC,The Jackson 5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
185,185.0,771808.0,Good Drank,2 Chainz,0.0,1.0,0.0,0.0,0.0,0.0,0.0
186,186.0,771809.0,Wyclef Jean,Young Thug,1.0,0.0,0.0,0.0,0.0,0.0,0.0
187,187.0,771810.0,(What A) Wonderful World - Remastered,Sam Cooke,0.0,1.0,0.0,0.0,0.0,0.0,0.0
188,188.0,771811.0,Living Single,Big Sean,1.0,0.0,0.0,0.0,0.0,0.0,0.0
189,189.0,771812.0,Let Me Explain,Bryson Tiller,1.0,0.0,0.0,0.0,0.0,0.0,0.0
190,190.0,771813.0,Go Flex,Post Malone,0.0,0.0,1.0,0.0,0.0,0.0,0.0
191,191.0,771814.0,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,0.0,1.0,0.0,0.0,0.0,0.0,0.0
192,192.0,771815.0,She's Mine Pt. 1,J. Cole,0.0,1.0,0.0,0.0,0.0,0.0,0.0
193,193.0,771816.0,False Alarm,The Weeknd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
194,194.0,771817.0,Ignition - Remix,R. Kelly,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,195.0,771818.0,679 (feat. Remy Boyz),Fetty Wap,0.0,1.0,0.0,0.0,0.0,0.0,0.0
196,196.0,771819.0,I Don't Fuck With You,Big Sean,0.0,1.0,0.0,0.0,0.0,0.0,0.0
197,197.0,771820.0,You Can't Hurry Love - 2016 Remastered,Phil Collins,1.0,0.0,0.0,0.0,0.0,0.0,0.0
198,198.0,771821.0,For Free,DJ Khaled,1.0,0.0,0.0,0.0,0.0,0.0,0.0
199,199.0,771928.0,Both (feat. Drake),Gucci Mane,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200,200.0,771931.0,This Town,Niall Horan,0.0,1.0,0.0,0.0,0.0,0.0,0.0
201,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
203,203.0,771954.0,Somebody Else,VÉRITÉ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
204,204.0,771958.0,For Whom The Bell Tolls,J. Cole,1.0,0.0,0.0,0.0,0.0,0.0,0.0
205,205.0,771960.0,4 Your Eyez Only,J. Cole,0.0,1.0,0.0,0.0,0.0,0.0,0.0
206,206.0,771963.0,Ville Mentality,J. Cole,1.0,0.0,0.0,0.0,0.0,0.0,0.0
207,207.0,771973.0,All I Know,The Weeknd,1.0,0.0,0.0,0.0,0.0,0.0,0.0
208,208.0,771974.0,How Far I'll Go,Auli'i Cravalho,1.0,0.0,0.0,0.0,0.0,0.0,0.0
