,Track Name,Artist,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,is_key_0,is_key_1,is_key_2,is_key_3,is_key_4,is_key_5,is_key_6,is_key_7,is_key_8,is_key_9,is_key_10,is_key_11
944,Sway (feat. Quavo & Lil Yachty),NexXthursday,0.11199999999999999,0.8959999999999999,244093,0.513,0.0,0.10400000000000001,-6.542000000000001,1,0.19899999999999998,133.97299999999998,4,0.29600000000000004,0,0,0,0,0,0,0,0,1,0,0,0
945,Do I Make You Wanna,Billy Currington,0.122,0.5489999999999999,234306,0.7509999999999999,0.0,0.20800000000000002,-5.422999999999999,1,0.0299,89.95299999999999,4,0.493,0,0,0,0,0,0,0,0,0,1,0,0
946,Glorious (feat. Skylar Grey),Macklemore,0.0323,0.731,220454,0.794,2.59e-05,0.11199999999999999,-5.126,0,0.0522,139.994,4,0.35600000000000004,1,0,0,0,0,0,0,0,0,0,0,0
947,Numb,Linkin Park,0.0046,0.496,185587,0.863,0.0,0.639,-4.1530000000000005,1,0.0381,110.01799999999999,4,0.243,0,0,0,0,0,0,0,0,0,1,0,0
948,What I've Done,Linkin Park,0.0141,0.623,205613,0.93,1.64e-06,0.138,-5.285,1,0.0324,120.119,4,0.287,0,0,0,0,0,1,0,0,0,0,0,0
949,One Step Closer,Linkin Park,0.0014,0.49200000000000005,157333,0.9690000000000001,1.32e-06,0.0787,-4.419,1,0.0491,95.13600000000001,4,0.5379999999999999,0,0,0,0,0,0,0,0,0,1,0,0
950,Numb / Encore,JAY Z,0.0603,0.687,205733,0.7929999999999999,0.0,0.5820000000000001,-4.254,1,0.166,107.045,4,0.7509999999999999,0,0,1,0,0,0,0,0,0,0,0,0
951,Papercut,Linkin Park,0.00022,0.524,184867,0.9390000000000001,0.0,0.623,-3.9939999999999998,1,0.113,150.184,4,0.6609999999999999,0,0,0,0,0,0,0,0,0,1,0,0
952,Crawling,Linkin Park,0.0466,0.58,208960,0.7020000000000001,3.2e-06,0.536,-5.565,1,0.0337,105.07600000000001,4,0.299,0,0,0,0,1,0,0,0,0,0,0,0
953,Somewhere I Belong,Linkin Park,0.00037999999999999997,0.451,213933,0.951,2.39e-06,0.261,-3.7539999999999996,1,0.0645,162.065,4,0.442,0,1,0,0,0,0,0,0,0,0,0,0
954,Bleed It Out,Linkin Park,0.0747,0.542,164760,0.932,0.0,0.613,-4.896,1,0.05,140.135,4,0.698,0,0,0,0,1,0,0,0,0,0,0,0
955,Faint,Linkin Park,0.111,0.5539999999999999,162600,0.978,0.0,0.0731,-3.554,1,0.131,135.095,4,0.594,0,0,0,0,1,0,0,0,0,0,0,0
956,Bodak Yellow,Cardi B,0.0672,0.929,223962,0.723,0.0,0.34600000000000003,-5.792000000000001,0,0.109,125.022,4,0.45799999999999996,0,0,0,0,0,0,0,0,0,0,0,1
957,See You Again,"Tyler, The Creator",0.371,0.5579999999999999,180387,0.5589999999999999,7.49e-06,0.109,-9.222000000000001,1,0.0959,78.558,4,0.62,0,0,0,0,0,0,1,0,0,0,0,0
958,Foreword,"Tyler, The Creator",0.11800000000000001,0.7340000000000001,194080,0.6709999999999999,0.00317,0.35200000000000004,-7.107,1,0.0315,94.025,4,0.113,0,1,0,0,0,0,0,0,0,0,0,0
959,I Ain't Got Time!,"Tyler, The Creator",0.0539,0.5489999999999999,206267,0.725,3.52e-05,0.14800000000000002,-7.239,1,0.397,108.822,4,0.547,0,1,0,0,0,0,0,0,0,0,0,0
960,Where This Flower Blooms,"Tyler, The Creator",0.71,0.6859999999999999,194933,0.429,3.41e-06,0.166,-10.402000000000001,0,0.15,130.09,4,0.27,0,0,0,0,0,0,0,0,1,0,0,0
