,Track Name,Artist,URL,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
57,Sidewalks,The Weeknd,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko,4h90qkbnW1Qq6pBhoPvwko,0.135,0.542,231360,0.727,0.0,1,0.328,-5.268,0,0.0849,150.098,4,0.548
58,I Want You Back,The Jackson 5,https://open.spotify.com/track/3b0EOvScbZUc0qJx0E1L2z,3b0EOvScbZUc0qJx0E1L2z,0.29,0.639,176333,0.548,9.68e-05,8,0.366,-13.534,1,0.0394,98.359,4,0.887
59,Cake By The Ocean,DNCE,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,2aFiaMXmWsM3Vj72F9ksBl,0.156,0.774,219147,0.764,0.0,4,0.0383,-5.445,0,0.0518,118.997,4,0.912
60,Low Life,Future,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX,7EiZI6JVHllARrX9PUvAdX,0.337,0.722,313547,0.331,0.283,8,0.146,-7.789,1,0.0725,143.974,4,0.102
61,goosebumps,Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,6gBFPUFcJLzWGx4lenP6h2,0.0847,0.841,243837,0.728,0.0,7,0.149,-3.37,1,0.0484,130.049,4,0.43
62,Redbone,Childish Gambino,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,3kxfsdsCpFgN412fpnW85Y,0.199,0.743,326933,0.359,0.00611,1,0.137,-10.401,1,0.0794,160.083,4,0.587
63,Just Hold On,Steve Aoki,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,3EmmCZoqpWOTY1g2GBwJoR,0.00383,0.647,198774,0.932,1.5e-06,11,0.0574,-3.515,1,0.0824,114.991,4,0.374
64,Billie Jean,Michael Jackson,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,5ChkMS8OtdzJeqyybCc9R5,0.0236,0.92,293827,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4,0.847
65,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,5knuzwU65gJK7IF5yJsuaW,0.406,0.72,251088,0.763,0.0,9,0.18,-4.068,0,0.0523,101.965,4,0.742
66,Immortal,J. Cole,https://open.spotify.com/track/6AGON2BGdPmPMJGiiNuuwl,6AGON2BGdPmPMJGiiNuuwl,0.435,0.713,201667,0.419,2.87e-06,11,0.126,-10.668,1,0.356,91.634,4,0.253
67,Ride,Twenty One Pilots,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2Z8WuEywRWYTKe1NybPQEW,0.00835,0.645,214507,0.713,0.0,6,0.113,-5.355,1,0.0393,74.989,4,0.566
68,Ain't No Mountain High Enough,Marvin Gaye,https://open.spotify.com/track/2H3ZUSE54pST4ubRd5FzFR,2H3ZUSE54pST4ubRd5FzFR,0.482,0.669,151667,0.616,0.0,11,0.179,-10.776,0,0.033,130.037,4,0.818
69,Money Longer,Lil Uzi Vert,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ,0B8QzDH7YWih85V5SEMnyJ,0.0541,0.795,198944,0.568,0.0,5,0.108,-7.817,0,0.142,136.173,4,0.478
70,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB,4dASQiO1Eoo3RJvt74FtXB,0.255,0.502,243491,0.786,0.0,9,0.65,-4.378,0,0.317,169.021,4,0.739
71,No Role Modelz,J. Cole,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,62vpWI1CHwFy7tMIcSStl8,0.302,0.696,292987,0.521,0.0,10,0.0565,-8.465,0,0.332,100.0,4,0.458
72,Used to This,Future,https://open.spotify.com/track/78sr3ogs4UzITcCNbXM9cM,78sr3ogs4UzITcCNbXM9cM,0.0312,0.618,180520,0.727,0.0,3,0.196,-7.224,0,0.208,164.992,4,0.401
73,Chantaje,Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,6mICuAdrwEjh6Y6lroV2Kg,0.187,0.852,195840,0.773,3.05e-05,8,0.159,-2.921,0,0.0776,102.034,4,0.907
74,Pumped Up Kicks,Foster The People,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,7w87IxuO7BDcJ3YUqCyMTT,0.145,0.733,239600,0.71,0.115,5,0.0956,-5.849,0,0.0292,127.975,4,0.965
75,Some Kind Of Drug,G-Eazy,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,1Bqxj0aH5KewYHKUg1IdrF,0.0705,0.586,222467,0.525,0.0,0,0.0729,-8.968,1,0.498,126.51,4,0.491
76,Too Much Sauce,DJ Esco,https://open.spotify.com/track/5oyUurs28XRagLa8lgm6V3,5oyUurs28XRagLa8lgm6V3,0.0496,0.96,223093,0.547,0.0,6,0.216,-6.992,0,0.0786,121.01,4,0.186
77,Now and Later,Sage The Gemini,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,08WPvDEsHvTFuB9w8tC2OS,0.273,0.781,193181,0.57,0.0,11,0.196,-5.874,0,0.188,107.059,4,0.858
